;date;model;tone;l;tone without # ;R;G;B;tone group;data_name;path_cover;annee;colors;47
0;01/01/2018;Lupita Nyongo;#402C2C;0.212745098;402C2C;64;44;44;4;20180101;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20180101.jpg;2018;2018: #402C2C;
1;10/01/2015;Lupita Nyongo;#58342B;0.257422969;58342B;88;52;43;4;20151001;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20151001.jpg;2015;2015: #58342B;
2;03/01/2009;Michelle Obama;#844930;0.35411764700000004;844930;132;73;48;7;20090301;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20090301.jpg;2009;2009: #844930;
3;04/01/2015;Serena Williams;#875038;0.375;875038;135;80;56;7;20150401;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20150401.jpg;2015;2015: #875038;
4;07/01/2014;Lupita Nyongo;#85524F;0.41666666700000005;85524F;133;82;79;7;20140701;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20140701.jpg;2014;2014: #85524F;
5;10/01/2016;Lupita Nyongo;#8F5347;0.420588235;8F5347;143;83;71;7;20161001;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20161001.jpg;2016;2016: #8F5347;
6;03/01/2017;Imaan Hammam;#AB542D;0.425490196;AB542D;171;84;45;7;20170301;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20170301.jpg;2017;2017: #AB542D;
7;02/01/2018;Serena Williams;#935E47;0.430514706;9,35E+49;147;94;71;7;20180201;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20180201.jpg;2018;2018: #935E47;
8;04/01/2009;Beyonce;#91684C;0.43389355700000004;91684C;145;104;76;7;20090401;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20090401.jpg;2009;2009: #91684C;
9;12/01/2002;Halle Berry;#906051;0.44248366;906051;144;96;81;7;20021201;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20021201.jpg;2002;2002: #906051;
10;06/01/2012;Serena Williams;#9C5A46;0.443697479;9C5A46;156;90;70;7;20120601;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20120601.jpg;2012;2012: #9C5A46;
11;12/01/2016;Michelle Obama;#A37249;0.465277778;A37249;163;114;73;0;20161201;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20161201.jpg;2016;2016: #A37249;
12;05/01/2009;Liya Kebede;#AC7842;0.468736383;AC7842;172;120;66;0;20090501;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20090501.jpg;2009;2009: #AC7842;
13;12/01/2008;Jennifer Aniston;#95745A;0.470437406;95745A;149;116;90;7;20081201;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20081201.jpg;2008;2008: #95745A;
14;04/01/2016;Rihanna;#9C6A59;0.483333333;9C6A59;156;106;89;7;20160401;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20160401.jpg;2016;2016: #9C6A59;
15;03/01/2017;Adwoa Aboah;#BA673E;0.486862745;BA673E;186;103;62;0;20170301;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20170301.jpg;2017;2017: #BA673E;
16;03/01/2007;Jennifer Hudson;#A67955;0.493382353;A67955;166;121;85;0;20070301;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20070301.jpg;2007;2007: #A67955;
17;06/01/2018;Rihanna;#B47648;0.495938375;B47648;180;118;72;0;20180601;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20180601.jpg;2018;2018: #B47648;
18;08/01/2008;Kate Moss;#A17F5F;0.502614379;A17F5F;161;127;95;5;20080801;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20080801.jpg;2008;2008: #A17F5F;
19;09/01/2014;Imaan Hammam;#B1694F;0.503594771;B1694F;177;105;79;0;20140901;https://raw.githubusercontent.com/amalenkr/Data-storytelling/main/2%20-%20Donn%C3%A9es/covers/20140901.jpg;2014;2014: #B1694F;
