,model,birth_place,l,tone,n_covers,birth_country,birth_country2
0,Adele,"London, England",0.796199095,#E3C1B2,2,England,England
1,Adwoa Aboah,"London, England",0.486862745,#BA673E,1,England,England
2,Alicia Vikander,"Gothenburg, Sweden",0.75630375,#E8B398,2,Sweden,Sweden
3,Amal Clooney,"Beirut, Lebanon",0.72373581,#DBAF95,1,Lebanon,Lebanon
4,Amanda Seyfried,"Allentown, Pennsylvania, U.S.",0.66379085,#D59B7C,1,U.S.,U.S.
5,Amber Valletta,"Phoenix, Arizona, U.S.",0.661522791,#C6A08A,3,U.S.,U.S.
6,Amy Adams,"Vicenza, Italy",0.8573529409999999,#ECCDC9,1,Italy,Italy
7,Andreea Diaconu,"Bucharest, Romania",0.649542484,#D49476,1,Romania,Romania
8,Angela Lindvall,"Midwest City, Oklahoma, U.S.",0.6959336009999999,#D2A58F,2,U.S.,U.S.
9,Anna Jagodzinska,"Sierpc, Poland[1]",0.658431373,#D5AA7A,1,Poland[1],Poland
10,Anne Hathaway,"New York City, U.S.",0.7890931370000001,#EAC4A7,3,U.S.,U.S.
11,Arizona Muse,"Tucson, Arizona, U.S.[1]",0.650544662,#D59376,1,U.S.[1],U.S.
12,Ashley Judd,"Los Angeles, California, U.S.",0.518552036,#AD705B,1,U.S.,U.S.
13,Beyonce,"Houston, Texas, U.S.",0.546182014,#B37D62,4,U.S.,U.S.
14,Blake Lively,"Los Angeles, California, U.S.",0.607964519,#C49571,3,U.S.,U.S.
15,Bridget Hall,"Springdale, Arkansas",0.726797386,#DEAC94,1,Arkansas,Arkansas
16,Britney Spears,"McComb, Mississippi, U.S.",0.70802139,#DBAA8E,1,U.S.,U.S.
17,Brooke Shields,"Manhattan, New York, U.S.",0.552249135,#B18A67,1,U.S.,U.S.
18,Cameron Diaz,"San Diego, California, U.S.",0.560171569,#A88C74,2,U.S.,U.S.
19,Cara Delevingne,"Hammersmith, London, England",0.7171895420000001,#E3A58A,2,England,England
20,Carey Mulligan,"London, England",0.756781046,#E6BD9A,3,England,England
21,Carmen Kass,"Tallinn, Estonia",0.6406238479999999,#CD9778,4,Estonia,Estonia
22,Caroline Trentini,"Panambi, Rio Grande do Sul, Brazil",0.6096078429999999,#C29774,1,Brazil,Brazil
23,Carolyn Murphy,"Panama City, Florida, U.S.",0.63315508,#CF9273,2,U.S.,U.S.
24,Cate Blanchett,"Ivanhoe, Victoria, Australia",0.684691015,#C6A895,5,Australia,Australia
25,Catherine Zeta-Jones,"Swansea, Glamorgan, Wales",0.709591503,#CFA999,2,Wales,Wales
26,Charlize Theron,"Benoni, South Africa",0.684356765,#D8A884,6,South Africa,South Africa
27,Christy Turlington,"Oakland, California, U.S.",0.584464555,#AE8D7A,2,U.S.,U.S.
28,Claire Danes,"Manhattan, New York, U.S.",0.7928104579999999,#EFC5A4,1,U.S.,U.S.
29,Claire Foy,"Stockport, Greater Manchester, England",0.8582267690000001,#EFD0C5,1,England,England
30,Daisy Ridley,"London, England",0.692156863,#D1A38F,1,England,England
31,Dakota Johnson,"Austin, Texas, U.S.",0.7542538129999999,#EAAA95,2,U.S.,U.S.
32,Daria Werbowy,"Kraków, Poland",0.834858388,#ECD1BD,1,Poland,Poland
33,Debra Messing,"New York City, U.S.",0.597385621,#C09070,1,U.S.,U.S.
34,Demi Moore,"Roswell, New Mexico, U.S.",0.645490196,#C39E86,1,U.S.,U.S.
35,Doutzen Kroes,"Gytsjerk, Friesland, Netherlands",0.63627451,#C79A7D,1,Netherlands,Netherlands
36,Drew Barrymore,"Culver City, California, U.S.",0.696968695,#D4AD8D,3,U.S.,U.S.
37,Edie Campbell,"Westminster, London, England",0.647303922,#D29277,1,England,England
38,Elle Fanning,"Conyers, Georgia, U.S.",0.7135549870000001,#D2A999,1,U.S.,U.S.
39,Emily Blunt,"London, England",0.68177624,#D99C82,1,England,England
40,Emma Stone,"Scottsdale, Arizona, U.S.",0.773625529,#E6BAA4,3,U.S.,U.S.
41,Emma Watson,"Paris, France",0.795588235,#E1C5B4,1,France,France
42,Fei Fei Sun,"Weifang, Shandong, China",0.659912854,#D6967A,1,China,China
43,Frankie Rayder,"River Falls, Wisconsin, United States",0.7107266440000001,#DCB08D,1,United States,U.S.
44,Gigi Hadid,"Los Angeles, California, U.S.",0.570895887,#C97E59,3,U.S.,U.S.
45,Gisele Bundchen,"Horizontina, Rio Grande do Sul, Brazil",0.670072372,#D29F82,9,Brazil,Brazil
46,Gwen Stefani,"Fullerton, California, U.S.",0.651740196,#C99F82,2,U.S.,U.S.
47,Gwyneth Paltrow,"Los Angeles, California, U.S.",0.687701681,#D5A888,5,U.S.,U.S.
48,Halle Berry,"Cleveland, Ohio, U.S.",0.54246732,#B07E63,2,U.S.,U.S.
49,Hilary Rhoda,"Chevy Chase, Maryland, United States",0.6309523810000001,#C3967E,1,United States,U.S.
50,Imaan Hammam,"Amsterdam, Netherlands",0.464542484,#AE5E3E,2,Netherlands,Netherlands
51,Jennifer Aniston,"Los Angeles, California, U.S.",0.589623397,#C08E6B,4,U.S.,U.S.
52,Jennifer Connelly,"Cairo, New York, U.S.",0.7610294120000001,#E2BFA0,2,U.S.,U.S.
53,Jennifer Hudson,"Chicago, Illinois, U.S.",0.493382353,#A67955,1,U.S.,U.S.
54,Jennifer Lawrence,"Indian Hills, Kentucky, U.S.",0.69251068,#D5A58B,3,U.S.,U.S.
55,Jennifer Lopez,"New York City, U.S.",0.656279178,#CAA083,2,U.S.,U.S.
56,Jessica Biel,"Ely, Minnesota, U.S.[2]",0.68627451,#D1A48C,1,U.S.[2],U.S.
57,Jessica Chastain,"Sacramento, California, U.S.",0.86127451,#F8D2BE,1,U.S.,U.S.
58,Joan Smalls,"Hatillo, Puerto Rico[1]",0.527818627,#B77156,1,Puerto Rico[1],Puerto Rico
59,Julianne Moore,"Fort Bragg, North Carolina, U.S.",0.7140406159999999,#D2A999,2,U.S.,U.S.
60,Karlie Kloss,"Chicago, Illinois, U.S.",0.641437908,#D78E6F,2,U.S.,U.S.
61,Karolina Kurkova,"Děčín, Ústí nad Labem, Czechoslovakia",0.647511312,#C79B83,1,Czechoslovakia,Czechoslovakia
62,Kate Bosworth,"Los Angeles, California, U.S.[1]",0.515686275,#A67D61,1,U.S.[1],U.S.
63,Kate Hudson,"Los Angeles, California, U.S.",0.666499406,#CCA586,5,U.S.,U.S.
64,Kate Moss,"Croydon, Greater London, England",0.588562092,#B69275,2,England,England
